英文,中文,类别,模块
An error occurred while clearing the image cache.,清理图像缓存时出错,module,Magento_Backend
The JavaScript/CSS cache has been cleaned.,JavaScript/CSS 缓存已清理。,module,Magento_Backend
An error occurred while clearing the JavaScript/CSS cache.,清理 JavaScript/CSS 缓存时出错,module,Magento_Backend
The static files cache has been cleaned.,静态文件缓存已被清除。,module,Magento_Backend
You flushed the cache storage.,您已刷新缓存存储,module,Magento_Backend
The Magento cache storage has been flushed.,Magento缓存存储已刷新,module,Magento_Backend
Cache Management,缓存管理,module,Magento_Backend
%1 cache type(s) disabled.,禁用缓存类型%1项。,module,Magento_Backend
An error occurred while disabling cache.,禁用缓存时出错。,module,Magento_Backend
%1 cache type(s) enabled.,激活缓存类型%1项。,module,Magento_Backend
An error occurred while enabling cache.,激活缓存时出错。,module,Magento_Backend
%1 cache type(s) refreshed.,刷新缓存类型%1项。,module,Magento_Backend
An error occurred while refreshing cache.,刷新缓存类型时出错,module,Magento_Backend
Dashboard,控制面板,module,Magento_Backend
We updated lifetime statistic.,静态报表数据已更新,module,Magento_Backend
We can't refresh lifetime statistics.,我们不能刷新寿命统计。,module,Magento_Backend
invalid request,无效的请求,module,Magento_Backend
see error log for details,查看错误日志细节,module,Magento_Backend
Service unavailable: %1,服务不可用: %1,module,Magento_Backend
Error,错误,module,Magento_Backend
Access Denied.,拒绝访问。,module,Magento_Backend
You need more permissions to do this.,你需要更多的权限,module,Magento_Backend
No search modules were registered,没有未注册的搜索模板,module,Magento_Backend
Please make sure that all global admin search modules are installed and activated.,请确保所有全局管理搜索模块安装和激活。,module,Magento_Backend
You saved the account.,帐户已保存。,module,Magento_Backend
An error occurred while saving account.,保存账号时出错,module,Magento_Backend
You deleted the design change.,您已删除界面设计,module,Magento_Backend
You can't delete the design change.,您无法删除设计变更。,module,Magento_Backend
Store Design,商店设置,module,Magento_Backend
Edit Store Design Change,编辑商店界面设计,module,Magento_Backend
You saved the design change.,您已保存界面设计。,module,Magento_Backend
System,系统,module,Magento_Backend
Manage Stores,管理商店,module,Magento_Backend
The database was backed up.,数据库备份,module,Magento_Backend
We can't create a backup right now. Please try again later.,我们现在不能创建备份，请稍后再试。,module,Magento_Backend
"Deleting a %1 will not delete the information associated with the %1 (e.g. categories, products, etc.), but the %1 will not be able to be restored. It is suggested that you create a database backup before deleting the %1.",删除 %1 不会删除与 %1 相关的信息（例如类别，商品等），但是 %1 被删除后无法恢复。建议删除 %1 之前先生成一个数据库备份,module,Magento_Backend
Something went wrong. Please try again.,出了些问题。请再试一次。,module,Magento_Backend
This store cannot be deleted.,无法删除该商店,module,Magento_Backend
You deleted the store.,您删除的存储。,module,Magento_Backend
Unable to delete the store. Please try again later.,无法删除商店。请稍后再试。,module,Magento_Backend
This store view cannot be deleted.,商店界面无法删除,module,Magento_Backend
Store View,商店界面,module,Magento_Backend
You deleted the store view.,您删除的存储视图。,module,Magento_Backend
Unable to delete the store view. Please try again later.,无法删除商店视图。请稍后再试。,module,Magento_Backend
This website cannot be deleted.,无法删除该网站。,module,Magento_Backend
You deleted the website.,您删除的网站。,module,Magento_Backend
Unable to delete the website. Please try again later.,无法删除网站。请稍后再试。,module,Magento_Backend
The website does not exist.,网站不存在,module,Magento_Backend
Before modifying the website code please make sure it is not used in index.php.,在修改网站代码，请确保它不会在index.php中使用。,module,Magento_Backend
The store does not exist,商店不存在,module,Magento_Backend
Store view doesn't exist,商店界面不存在,module,Magento_Backend
Before modifying the store view code please make sure it is not used in index.php.,在修改存储视图代码，请确保它不会在index.php中使用。,module,Magento_Backend
New,新建,module,Magento_Backend
You saved the website.,你保存了网站。,module,Magento_Backend
An inactive store view cannot be saved as default store view,无法将非活动存储视图保存为默认存储视图,module,Magento_Backend
You saved the store.,你保存了商店。,module,Magento_Backend
The default store cannot be disabled,无法禁用默认商店,module,Magento_Backend
You saved the store view.,店铺语言视图已生成。,module,Magento_Backend
Something went wrong while saving. Please review the error log.,保存中出现了一些问题，请检查错误日志。,module,Magento_Backend
Last 24 Hours,最近24小时,module,Magento_Backend
Last 7 Days,最近7天,module,Magento_Backend
Current Month,当前月,module,Magento_Backend
YTD,年初至今,module,Magento_Backend
2YTD,去年至今,module,Magento_Backend
Authentication storage is incorrect.,认证存储不正确。,module,Magento_Backend
You did not sign in correctly or your account is temporarily disabled.,登录不正确或者您的账号已禁用。,module,Magento_Backend
Authentication error occurred.,验证出错,module,Magento_Backend
Admin session lifetime must be less than or equal to 31536000 seconds (one year),管理会话有效期必须小于或等于31536000秒（一年）,module,Magento_Backend
Admin session lifetime must be greater than or equal to 60 seconds,管理会话有效期必须大于或等于60秒,module,Magento_Backend
Order,订单,module,Magento_Backend
Order #%1,订单 #%1,module,Magento_Backend
Access denied,拒绝访问,module,Magento_Backend
Please try to sign out and sign in again.,请尝试退出并重新登录。,module,Magento_Backend
"If you continue to receive this message, please contact the store owner.",如果您继续收到此邮件，请联系店主。,module,Magento_Backend
You need more permissions to access this.,你需要更多的权限来访问这一点。,module,Magento_Backend
"Welcome, please sign in",欢迎您，请登录,module,Magento_Backend
Username,用户名,module,Magento_Backend
user name,用户名称,module,Magento_Backend
Password,密码,module,Magento_Backend
password,密码,module,Magento_Backend
Sign in,登录,module,Magento_Backend
Select Range:,选择范围:,module,Magento_Backend
No Data Found,未发现数据,module,Magento_Backend
"Chart is disabled. To enable the chart, click <a href=""%1"">here</a>.","图表是禁用的，要启用该图表，单击<a href=""%1"">这里</a>。",module,Magento_Backend
Last Orders,最新订单,module,Magento_Backend
Last Search Terms,最新的搜索关键词,module,Magento_Backend
Top Search Terms,热门搜索关键词,module,Magento_Backend
There are no search keywords.,没有搜索关键词,module,Magento_Backend
View Statistics For:,查看统计:,module,Magento_Backend
All Websites,所有网站,module,Magento_Backend
Reload Data,刷新数据,module,Magento_Backend
Browse Files...,浏览文件…,module,Magento_Backend
Magento,Magento,module,Magento_Backend
Copyright &copy; %1 Magento Commerce Inc. All rights reserved.,Copyright &copy; %1 Magento Commerce Inc. All rights reserved.,module,Magento_Backend
ver. %1,版本: %1,module,Magento_Backend
Magento Admin Panel,Magento管理面板,module,Magento_Backend
Account Setting,账户设置,module,Magento_Backend
Customer View,客户界面,module,Magento_Backend
Sign Out,退出,module,Magento_Backend
About the calendar,关于日历,module,Magento_Backend
Close,关闭,module,Magento_Backend
Go Today,到今天,module,Magento_Backend
Previous,上一个,module,Magento_Backend
Next,下一个,module,Magento_Backend
WK,周,module,Magento_Backend
Time,时间,module,Magento_Backend
Hour,小时,module,Magento_Backend
Minute,分钟,module,Magento_Backend
JavaScript may be disabled in your browser.,您的浏览器可能禁用了JavaScript,module,Magento_Backend
To use this website you must first enable JavaScript in your browser.,使用该网站前，请先在您的浏览器中激活JavaScript,module,Magento_Backend
"This is only a demo store. You can browse and place orders, but nothing will be processed.",这只是一个演示商店。你可以浏览和下订单，但不会有任何处理。,module,Magento_Backend
Report Bugs,反馈问题,module,Magento_Backend
Store View:,店铺视图,module,Magento_Backend
Stores Configuration,商店设置,module,Magento_Backend
Please confirm scope switching. All data that hasn't been saved will be lost.,请确认范围切换。尚未保存的所有数据将丢失。,module,Magento_Backend
Additional Cache Management,附加缓存管理,module,Magento_Backend
Flush Catalog Images Cache,刷新目录图像缓存,module,Magento_Backend
Pregenerated product images files,预先生成的产品图像文件,module,Magento_Backend
Flush JavaScript/CSS Cache,刷新 JavaScript/CSS 缓存,module,Magento_Backend
Themes JavaScript and CSS files combined to one file,主题的JavaScript和CSS文件合并到一个文件,module,Magento_Backend
Flush Static Files Cache,刷新静态文件缓存,module,Magento_Backend
Preprocessed view files and static files,预加载显示文件和静态文件,module,Magento_Backend
Catalog,目录,module,Magento_Backend
JavaScript/CSS,JavaScript/CSS,module,Magento_Backend
JavaScript/CSS Cache,JavaScript/CSS缓存,module,Magento_Backend
No records found.,未发现记录。,module,Magento_Backend
Images,图像,module,Magento_Backend
Big Image,大图,module,Magento_Backend
Thumbnail,缩略图,module,Magento_Backend
Additional Settings,附加设置,module,Magento_Backend
records found,条记录,module,Magento_Backend
selected,选择,module,Magento_Backend
per page,每页,module,Magento_Backend
Previous page,上一页,module,Magento_Backend
of %1,%1 的,module,Magento_Backend
Next page,下一页,module,Magento_Backend
Export to:,导出到:,module,Magento_Backend
Actions,操作,module,Magento_Backend
Mass Actions,批量操作,module,Magento_Backend
Unselect All,全部取消,module,Magento_Backend
Select Visible,选择可见,module,Magento_Backend
Unselect Visible,取消可见,module,Magento_Backend
Changes have been made to this section that have not been saved.,改变已作出这一节还没有被保存。,module,Magento_Backend
This tab contains invalid data. Please resolve this before saving.,此选项卡包含无效数据。在保存前请解决这个问题。,module,Magento_Backend
The information in this tab has been changed.,此选项卡中的信息已更改。,module,Magento_Backend
Loading...,加载中…,module,Magento_Backend
We could not detect a size.,我们未能检测到的大小。,module,Magento_Backend
We don't recognize or support this file extension type.,我们无法识别或支持这个文件扩展类型。,module,Magento_Backend
Allow everything,允许一切,module,Magento_Backend
Magento Admin,Magento管理,module,Magento_Backend
Global Search,全球搜索,module,Magento_Backend
Marketing,营销,module,Magento_Backend
SEO & Search,优化和搜索,module,Magento_Backend
User Content,用户内容,module,Magento_Backend
